nohup: ignoring input

=== Treinando com mask_00_exec100p (18/18 blocos ativos) ===
[mask_05_exec50p] epoch 5/20 | train_loss 0.5090 acc 81.95 | val_loss 0.5515 acc 81.86 | 7.7s
[mask_05_exec50p] epoch 6/20 | train_loss 0.4417 acc 84.61 | val_loss 0.5272 acc 82.88 | 7.9s
[mask_05_exec50p] epoch 7/20 | train_loss 0.3944 acc 86.05 | val_loss 0.5033 acc 83.73 | 6.7s
[mask_05_exec50p] epoch 8/20 | train_loss 0.3526 acc 87.57 | val_loss 0.4736 acc 84.72 | 8.0s
[mask_05_exec50p] epoch 9/20 | train_loss 0.3253 acc 88.67 | val_loss 0.4856 acc 84.66 | 7.1s
[mask_05_exec50p] epoch 10/20 | train_loss 0.3010 acc 89.35 | val_loss 0.4608 acc 85.31 | 7.6s
[mask_05_exec50p] epoch 11/20 | train_loss 0.2821 acc 89.99 | val_loss 0.4335 acc 86.39 | 7.8s
[mask_05_exec50p] epoch 12/20 | train_loss 0.2640 acc 90.71 | val_loss 0.4537 acc 85.95 | 7.3s
[mask_05_exec50p] epoch 13/20 | train_loss 0.2468 acc 91.19 | val_loss 0.4597 acc 86.07 | 7.9s
[mask_05_exec50p] epoch 14/20 | train_loss 0.2375 acc 91.46 | val_loss 0.4531 acc 86.04 | 7.9s
[mask_05_exec50p] epoch 15/20 | train_loss 0.2213 acc 92.17 | val_loss 0.4451 acc 87.51 | 8.0s
[mask_05_exec50p] epoch 16/20 | train_loss 0.2089 acc 92.49 | val_loss 0.4241 acc 87.34 | 7.7s
[mask_05_exec50p] epoch 17/20 | train_loss 0.2040 acc 92.71 | val_loss 0.4271 acc 86.93 | 8.0s
[mask_05_exec50p] epoch 18/20 | train_loss 0.1936 acc 93.17 | val_loss 0.4234 acc 87.68 | 7.7s
[mask_05_exec50p] epoch 19/20 | train_loss 0.1843 acc 93.44 | val_loss 0.4359 acc 87.88 | 6.9s
[mask_05_exec50p] epoch 20/20 | train_loss 0.1792 acc 93.61 | val_loss 0.4220 acc 87.79 | 7.8s
[mask_05_exec50p] Fim. Best Val Acc = 87.88% | dir=save_mask_sweep/20250902_230826_mask_05_exec50p

=== Treinando com mask_06_exec50p (9/18 blocos ativos) ===
[mask_06_exec50p] epoch 1/20 | train_loss 0.5549 acc 80.97 | val_loss 0.4484 acc 84.71 | 7.2s
[mask_06_exec50p] epoch 2/20 | train_loss 0.3167 acc 89.05 | val_loss 0.4032 acc 86.73 | 7.6s
[mask_06_exec50p] epoch 3/20 | train_loss 0.2676 acc 90.64 | val_loss 0.4355 acc 86.12 | 7.6s
[mask_06_exec50p] epoch 4/20 | train_loss 0.2388 acc 91.60 | val_loss 0.3776 acc 87.94 | 7.2s
[mask_06_exec50p] epoch 5/20 | train_loss 0.2171 acc 92.44 | val_loss 0.4074 acc 87.02 | 6.9s
[mask_06_exec50p] epoch 6/20 | train_loss 0.2064 acc 92.76 | val_loss 0.4072 acc 87.62 | 7.7s
[mask_06_exec50p] epoch 7/20 | train_loss 0.1936 acc 93.24 | val_loss 0.3720 acc 88.47 | 7.9s
[mask_06_exec50p] epoch 8/20 | train_loss 0.1797 acc 93.75 | val_loss 0.3802 acc 88.26 | 7.8s
[mask_06_exec50p] epoch 9/20 | train_loss 0.1700 acc 94.04 | val_loss 0.3728 acc 88.43 | 7.9s
[mask_06_exec50p] epoch 10/20 | train_loss 0.1673 acc 94.17 | val_loss 0.3770 acc 88.82 | 7.7s
[mask_06_exec50p] epoch 11/20 | train_loss 0.1596 acc 94.32 | val_loss 0.3560 acc 89.08 | 7.6s
[mask_06_exec50p] epoch 12/20 | train_loss 0.1502 acc 94.79 | val_loss 0.4103 acc 88.33 | 7.4s
[mask_06_exec50p] epoch 13/20 | train_loss 0.1505 acc 94.70 | val_loss 0.3772 acc 89.34 | 7.7s
[mask_06_exec50p] epoch 14/20 | train_loss 0.1427 acc 94.92 | val_loss 0.3684 acc 89.39 | 7.9s
[mask_06_exec50p] epoch 15/20 | train_loss 0.1408 acc 95.00 | val_loss 0.4103 acc 88.04 | 7.7s
[mask_06_exec50p] epoch 16/20 | train_loss 0.1352 acc 95.16 | val_loss 0.3945 acc 88.90 | 7.3s
[mask_06_exec50p] epoch 17/20 | train_loss 0.1357 acc 95.18 | val_loss 0.4218 acc 88.49 | 6.5s
[mask_06_exec50p] epoch 18/20 | train_loss 0.1289 acc 95.41 | val_loss 0.4211 acc 88.46 | 8.0s
[mask_06_exec50p] epoch 19/20 | train_loss 0.1229 acc 95.64 | val_loss 0.4037 acc 88.92 | 7.7s
[mask_06_exec50p] epoch 20/20 | train_loss 0.1250 acc 95.54 | val_loss 0.3964 acc 89.00 | 7.9s
[mask_06_exec50p] Fim. Best Val Acc = 89.39% | dir=save_mask_sweep/20250902_230826_mask_06_exec50p

=== Treinando com mask_07_exec50p (9/18 blocos ativos) ===
[mask_07_exec50p] epoch 1/20 | train_loss 0.3650 acc 87.48 | val_loss 0.3838 acc 87.59 | 7.9s
[mask_07_exec50p] epoch 2/20 | train_loss 0.2221 acc 92.30 | val_loss 0.3721 acc 87.83 | 7.8s
[mask_07_exec50p] epoch 3/20 | train_loss 0.1910 acc 93.41 | val_loss 0.3293 acc 89.43 | 7.8s
[mask_07_exec50p] epoch 4/20 | train_loss 0.1691 acc 94.18 | val_loss 0.3459 acc 89.02 | 7.6s
[mask_07_exec50p] epoch 5/20 | train_loss 0.1563 acc 94.53 | val_loss 0.3366 acc 89.41 | 7.0s
[mask_07_exec50p] epoch 6/20 | train_loss 0.1485 acc 94.78 | val_loss 0.3209 acc 90.08 | 6.8s
[mask_07_exec50p] epoch 7/20 | train_loss 0.1386 acc 95.21 | val_loss 0.3306 acc 89.87 | 7.6s
[mask_07_exec50p] epoch 8/20 | train_loss 0.1311 acc 95.42 | val_loss 0.3417 acc 89.96 | 7.9s
[mask_07_exec50p] epoch 9/20 | train_loss 0.1252 acc 95.67 | val_loss 0.3270 acc 90.23 | 7.7s
[mask_07_exec50p] epoch 10/20 | train_loss 0.1191 acc 95.91 | val_loss 0.3426 acc 90.01 | 7.9s
[mask_07_exec50p] epoch 11/20 | train_loss 0.1164 acc 95.96 | val_loss 0.3760 acc 89.24 | 7.9s
[mask_07_exec50p] epoch 12/20 | train_loss 0.1132 acc 96.06 | val_loss 0.3514 acc 89.62 | 7.5s
[mask_07_exec50p] epoch 13/20 | train_loss 0.1091 acc 96.18 | val_loss 0.3604 acc 89.48 | 7.9s
[mask_07_exec50p] epoch 14/20 | train_loss 0.1043 acc 96.46 | val_loss 0.3403 acc 89.81 | 7.7s
[mask_07_exec50p] epoch 15/20 | train_loss 0.0988 acc 96.59 | val_loss 0.3510 acc 89.87 | 7.7s
[mask_07_exec50p] epoch 16/20 | train_loss 0.0980 acc 96.50 | val_loss 0.3699 acc 89.94 | 7.9s
[mask_07_exec50p] epoch 17/20 | train_loss 0.0968 acc 96.65 | val_loss 0.3355 acc 90.57 | 7.7s
[mask_07_exec50p] epoch 18/20 | train_loss 0.0898 acc 96.89 | val_loss 0.3958 acc 89.43 | 7.3s
[mask_07_exec50p] epoch 19/20 | train_loss 0.0921 acc 96.78 | val_loss 0.3543 acc 89.86 | 7.5s
[mask_07_exec50p] epoch 20/20 | train_loss 0.0896 acc 96.89 | val_loss 0.3441 acc 90.24 | 7.8s
[mask_07_exec50p] Fim. Best Val Acc = 90.57% | dir=save_mask_sweep/20250902_230826_mask_07_exec50p

